trade_id,date,direction,entry,stop,risk,target_r,result_r
0,2024-10-14,short,20619.125,20632.0,12.875,2.0,-1.0
1,2024-10-15,short,20573.875,20579.5,5.625,2.0,2.0
2,2024-10-16,long,20306.625,20285.0,21.625,2.0,-1.0
3,2024-10-21,long,20536.5,20523.0,13.5,2.0,-1.0
4,2024-10-24,short,20298.5,20326.25,27.75,2.0,-1.0
5,2024-10-25,long,20679.5,20662.5,17.0,2.0,-1.0
6,2024-10-28,long,20587.125,20575.0,12.125,2.0,-1.0
7,2024-10-29,long,20554.875,20522.25,32.625,2.0,2.0
8,2024-10-30,long,20667.75,20656.5,11.25,2.0,2.0
9,2024-10-31,short,20110.75,20133.75,23.0,2.0,2.0
10,2024-11-01,long,20221.75,20209.5,12.25,2.0,-1.0
11,2024-11-04,long,20141.5,20122.0,19.5,2.0,-1.0
12,2024-11-05,long,20314.125,20298.0,16.125,2.0,2.0
13,2024-11-06,long,20752.0,20728.0,24.0,2.0,-1.0
14,2024-11-07,long,21134.0,21117.75,16.25,2.0,2.0
15,2024-11-11,long,21202.375,21188.25,14.125,2.0,2.0
16,2024-11-12,short,21180.25,21188.0,7.75,2.0,-1.0
17,2024-11-13,long,21161.5,21149.5,12.0,2.0,-1.0
18,2024-11-14,short,21075.0,21109.0,34.0,2.0,-1.0
19,2024-11-18,long,20604.25,20597.5,6.75,2.0,2.0
20,2024-11-19,long,20583.125,20563.75,19.375,2.0,2.0
21,2024-11-20,short,20523.0,20536.5,13.5,2.0,2.0
22,2024-11-21,short,20576.0,20623.0,47.0,2.0,-1.0
23,2024-11-22,short,20767.125,20793.5,26.375,2.0,-1.0
24,2024-11-26,short,20947.5,20970.0,22.5,2.0,-1.0
25,2024-11-28,long,20896.0,20892.5,3.5,2.0,-1.0
26,2024-11-29,long,20964.0,20959.0,5.0,2.0,-1.0
27,2024-12-02,long,21186.0,21175.25,10.75,2.0,-1.0
28,2024-12-03,short,21185.875,21194.25,8.375,2.0,-1.0
29,2024-12-04,long,21462.125,21447.25,14.875,2.0,0.0
30,2024-12-05,long,21530.75,21526.5,4.25,2.0,-1.0
31,2024-12-06,long,21629.625,21620.25,9.375,2.0,-1.0
32,2024-12-11,long,21731.375,21720.25,11.125,2.0,2.0
33,2024-12-12,long,21683.625,21671.75,11.875,2.0,-1.0
34,2024-12-13,short,21819.625,21836.0,16.375,2.0,2.0
35,2024-12-16,long,21984.25,21973.25,11.0,2.0,2.0
36,2024-12-17,short,22271.375,22284.75,13.375,2.0,-1.0
37,2024-12-18,long,22300.875,22289.25,11.625,2.0,2.0
38,2024-12-19,short,21542.125,21582.75,40.625,2.0,-1.0
39,2024-12-24,long,21944.5,21930.75,13.75,2.0,2.0
40,2024-12-27,short,21555.25,21581.25,26.0,2.0,-1.0
41,2024-12-30,long,21355.875,21341.0,14.875,2.0,-1.0
42,2024-12-31,short,21356.25,21384.0,27.75,2.0,2.0
43,2025-01-02,short,21320.125,21369.5,49.375,2.0,2.0
44,2025-01-03,long,21436.625,21420.75,15.875,2.0,2.0
45,2025-01-06,long,21846.25,21832.25,14.0,2.0,2.0
46,2025-01-07,short,21546.875,21586.25,39.375,2.0,2.0
47,2025-01-08,long,21393.625,21377.25,16.375,2.0,-1.0
48,2025-01-10,long,21046.125,21022.25,23.875,2.0,2.0
49,2025-01-13,short,20735.25,20753.25,18.0,2.0,-1.0
50,2025-01-14,short,20981.625,21007.75,26.125,2.0,-1.0
